AMS,Amsterdam Airport Schiphol,Netherlands,Amsterdam
ATL,Hartsfield-Jackson Atlanta International Airport,United States, Atlanta
AUS,Austin-Bergstrom Intl,United States,Austin
BCN,Barcelona-El Prat Airport,Spain,Barcelona
BER,Berlin Brandenburg Airport,Germany,Berlin
DUS,Düsseldorf Airport,Germany,Düsseldorf
DXB,Dubai International Airport,United Arab Emirates,Dubai
EWR,Newark Liberty International Airport,United States,Newark
FRA,Frankfurt Airport,Germany,Frankfurt
HND,Haneda Airport Tokyo,Japan,Tokyo
IAH,George Bush Intercontinental Airport Houston,United States,Houston
JFK,John F. Kennedy International Airport,United States,New York City
LAX,Los Angeles International Airport,United States,Los Angeles
LHR,London Heathrow Airport,United Kingdom,London
LGA,LaGuardia Airport,United States,New York City
MAD,Adolfo Suárez Madrid-Barajas Airport,Spain,Madrid
MEX,Mexico City International Airport,Mexico,Mexico City
MIA,Miami International Airport,United States,Miami
MSP,Minnesota-Saint Paul International Airport,United States,Minneapolis
ORD,Chicago O'Hare International Airport,United States,Chicago
RIX,Riga International Airport,Latvia,Riga
SIN,Singapore Changi Airport,Singapore,Singapore
SJO,Juan Santamaría International Airport,Costa Rica,San José
SVO,Sheremetyevo International Airport Moscow,Russia,Moscow
SYD,Sydney Kingsford Smith Airport,Australia,Sydney
TLL,Lennart Meri Tallinn Airport,Estonia,Tallinn
YVR,Vancouver International Airport,Canada,Vancouver
YXY,Erik Nielsen Whitehorse International Airport,Canada,Whitehorse
YYZ,Toronto Pearson International Airport,Canada,Toronto















